id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44095499,Gemütliches Neubau Appartment,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11085,11.61736,Entire home/apt,64,25,0,,,33,0
44095677,Modernes Neubau Appartment 7,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11091,11.61582,Entire home/apt,64,25,4,2020-08-28,0.37,33,32
44117290,Hochwertiges Zuhause mit Aussicht,354333116,Joanna,,Maxvorstadt,48.15071,11.55225,Entire home/apt,95,2,2,2020-09-05,0.18,1,78
44125689,Perfekt angebundene Wohnung in Zentrumsnähe,123088232,Thomas,,Neuhausen-Nymphenburg,48.15585,11.53934,Entire home/apt,35,3,4,2020-09-14,0.43,1,7
44127722,Gesamte Wohnung im Herzen von Giesing,20268290,Kudret,,Untergiesing-Harlaching,48.11653,11.57513,Entire home/apt,80,1,0,,,1,337
44131836,Modernes Neubau Appartment 2,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.111,11.61557,Entire home/apt,64,25,13,2020-10-24,1.19,33,0
44133683,Cozy one-room apartment in central Munich,35195538,Verena,,Maxvorstadt,48.15428,11.56466,Entire home/apt,55,3,3,2020-07-27,0.27,1,0
44135994,Modernes Neubau Appartment 4,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11269,11.6172,Entire home/apt,64,25,0,,,33,0
44157499,Schöne helle Wohnung im Herzen von Schwabing,10676221,Sophia,,Schwabing-West,48.16493,11.5656,Entire home/apt,120,1,2,2021-03-13,0.22,1,171
44172647,"Möblierte Studio-Apartments, Isarnähe",355651144,SDI Campus,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09748,11.53056,Entire home/apt,55,4,8,2020-12-23,1.04,4,25
44186707,Flatista Boutique Hotel directly at English Garden,7901771,Thomas,,Maxvorstadt,48.15104,11.58441,Private room,70,1,151,2021-06-13,13.69,14,316
44187016,2BR apt Flatista Boutique Hotel at English Garden,7901771,Thomas,,Maxvorstadt,48.14989,11.58389,Private room,80,1,10,2020-10-09,0.99,14,0
44195017,Stylish apartment central Munich,9046687,Zoran,,Schwanthalerhöhe,48.13574,11.54599,Entire home/apt,99,3,4,2020-08-03,0.37,3,352
44207826,Cosy appartment in the middle of Munich,78488775,Ivana,,Maxvorstadt,48.14524,11.57137,Entire home/apt,55,3,0,,,1,0
44222319,TIMEHOUSE Exclusive 3,307125453,Timehouse,,Schwabing-Freimann,48.17424,11.58685,Private room,302,1,1,2021-01-16,0.18,6,174
44222626,TIMEHOUSE Business 2,307125453,Timehouse,,Schwabing-Freimann,48.17602,11.58549,Private room,189,1,1,2020-09-16,0.10,6,170
44240830,Zimmer in moderner Wohnung,356507299,Sabine,,Sendling-Westpark,48.11214,11.532,Private room,42,1,7,2021-05-26,0.62,1,223
44246189,In 2020 hochwertig renovierter Studenten-Innen WG,356552488,Leonard,,Au-Haidhausen,48.13543,11.60701,Private room,35,14,3,2021-03-01,0.33,1,38
